WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
72;5500000.0;M;60;camionero
60;1200000.0;F;29;camionero
48;1160000.0;M;32;camionero
50;1600000.0;M;40;camionero
40;2500000.0;F;25;camionero
72;1160000.0;F;64;camionero
48;700000.0;F;35;camionero
54;2000000.0;F;11;camionero
20;360000.0;M;9;camionero
45;1100000.0;M;6;camionero
48;1100000.0;M;32;camionero
48;1160000.0;F;29;camionero
48;1500000.0;M;34;camionero
48;1146000.0;F;47;camionero
48;1650000.0;M;66;camionero
48;1200000.0;M;19;camionero
48;800000.0;F;25;camionero
36;2500000.0;F;23;camionero
30;400000.0;F;68;camionero
50;700000.0;M;43;camionero
84;2500000.0;M;50;camionero
40;2000000.0;M;7;camionero
20;500000.0;F;68;camionero
48;1300000.0;M;65;camionero
