MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
2;48;1400000.0;F;19;almacenista;6720.4
12;48;1800000.0;M;49;almacenista;8640.6
12;60;1160000.0;F;77;almacenista;4454.7
10;48;2160000.0;F;94;almacenista;10368.7
12;60;1118000.0;F;11;almacenista;4293.4
8;48;1160000.0;F;47;almacenista;5568.4
12;48;1000000.0;F;47;almacenista;4800.3
12;48;1160000.0;M;24;almacenista;5568.4
12;48;1600000.0;F;25;almacenista;7680.5
12;40;2600000.0;F;36;almacenista;14977.0
11;60;1160000.0;F;29;almacenista;4454.7
12;50;1500000.0;F;67;almacenista;6912.4
12;84;3000000.0;F;52;almacenista;8229.1
12;50;1160000.0;M;20;almacenista;5345.6
12;48;1700000.0;M;26;almacenista;8160.5
12;48;1600000.0;F;11;almacenista;7680.5
12;48;1160000.0;F;10;almacenista;5568.4
12;48;2250000.0;F;60;almacenista;10800.7
12;78;1000000.0;F;17;almacenista;2954.0
12;48;1500000.0;M;9;almacenista;7200.5
12;48;1450000.0;M;15;almacenista;6960.4
7;24;400000.0;F;10;almacenista;3840.2
12;60;900000.0;F;28;almacenista;3456.2
12;48;900000.0;F;25;almacenista;4320.3
12;60;1160000.0;F;15;almacenista;4454.7
12;48;1160000.0;M;69;almacenista;5568.4
12;48;1500000.0;M;14;almacenista;7200.5
12;35;1800000.0;F;55;almacenista;11849.9
12;48;1300600.0;F;26;almacenista;6243.3
12;48;1200000.0;M;11;almacenista;5760.4
12;48;1000000.0;F;37;almacenista;4800.3
6;60;625000.0;F;26;almacenista;2400.2
10;56;1160000.0;M;33;almacenista;4772.9
7;48;1160000.0;F;33;almacenista;5568.4
10;56;1160000.0;M;11;almacenista;4772.9
12;48;1200000.0;F;78;almacenista;5760.4
12;48;1000000.0;F;24;almacenista;4800.3
12;54;1200000.0;M;35;almacenista;5120.3
12;48;1300000.0;M;39;almacenista;6240.4
12;48;1000000.0;F;61;almacenista;4800.3
12;40;2400000.0;F;56;almacenista;13824.9
12;48;1600000.0;F;8;almacenista;7680.5
12;48;1400000.0;M;39;almacenista;6720.4
12;48;1000000.0;M;69;almacenista;4800.3
12;48;1000000.0;F;65;almacenista;4800.3
1;48;1000000.0;F;40;almacenista;4800.3
7;72;1016000.0;M;81;almacenista;3251.4
12;48;1160000.0;F;58;almacenista;5568.4
12;48;1300000.0;F;19;almacenista;6240.4
12;48;1400000.0;F;26;almacenista;6720.4
11;56;1160000.0;F;73;almacenista;4772.9
12;48;1300000.0;F;65;almacenista;6240.4
12;20;325000.0;M;25;almacenista;3744.2
12;55;1325000.0;F;21;almacenista;5550.9
